127.0.0.1 - - [01/Feb/2023:12:47:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:47:05 +0900] "GET /step01_htmlProject/html01_h.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:47:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:47:45 +0900] "GET /src/main/java/html01_h.html HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:47:59 +0900] "GET /src/main/webapp/html01_h.html HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:48:28 +0900] "GET /step01_htmlProject/src/main/webapp/html01_h.html HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:48:35 +0900] "GET /step01_htmlProject/html01_h.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:48:57 +0900] "GET /java/html_lec/step01_htmlProject/src/main/webapp//html01_h.html HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:49:03 +0900] "GET /html_lec/step01_htmlProject/src/main/webapp//html01_h.html HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:49:16 +0900] "GET /step01_htmlProject/src/main/webapp//html01_h.html HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:49:27 +0900] "GET /src/main/webapp//html01_h.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:49:38 +0900] "GET /step01_htmlProject/html01_h.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:05 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:19 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:19 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:20 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:22 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:23 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:46 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:57 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:58 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:14:14 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:14:28 +0900] "GET /step01_htmlProject/html02_nbsp.html HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:24:26 +0900] "GET /step01_htmlProject/html03_pre.html HTTP/1.1" 200 313
